bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,program_key,series_key,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,release_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,imdb_id,genre,imdb_rating
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|her_relationship_with_lupin|2019,Lupin The 3Rd Part 5,1,15,Her Relationship with Lupin,05/11/2020,10/05/2020,09/22/2019,1325,TV-14 SV,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/her-relationship-with-lupin,VideoCollection:AWsjveiCCorLtcgflq7h,AW1Ke2zb1YiBSfg0KXA5,,,
adultswim,1.0.0,US,05/17/2020,0,Free,E|lupin_the_3rd_part_5|NaN,S|lupin_iii_part_v_trailer|NaN,Lupin The 3Rd Part 5,,,Lupin III Part V Trailer,06/10/2019,,,60,NaN,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/lupin-iii-part-v-trailer,VideoCollection:AWsjveiCCorLtcgflq7h,AWszyQ3NCorLtcgflrEz,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|is_lupin_still_burning|2019,Lupin The 3Rd Part 5,0,0,Is Lupin Still Burning?,01/26/2020,06/01/2020,12/15/2019,1632,TV-14 DLSV,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/is-lupin-still-burning,VideoCollection:AWsjveiCCorLtcgflq7h,AW8MRl3A3HMJfT8do6cH,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|the_girl_in_the_twin_towers|2019,Lupin The 3Rd Part 5,1,1,The Girl in the Twin Towers,01/27/2020,06/08/2020,06/16/2019,1336,TV-14 L,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/the-girl-in-the-twin-towers,VideoCollection:AWsjveiCCorLtcgflq7h,AWtBkxgaCorLtcgflrGZ,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|the_lupin_game|2019,Lupin The 3Rd Part 5,1,2,The Lupin Game,02/10/2020,06/15/2020,06/23/2019,1337,TV-14 DLSV,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/the-lupin-game,VideoCollection:AWsjveiCCorLtcgflq7h,AWt6bPiO4aLemgzOLEzb,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|the_killers_gather_in_the_wasteland|2019,Lupin The 3Rd Part 5,1,3,The Killers Gather in the Wasteland,02/17/2020,07/13/2020,06/30/2019,1325,NaN,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/the-killers-gather-in-the-wasteland,VideoCollection:AWsjveiCCorLtcgflq7h,AWufnDByCorLtcgflrkq,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|zenigatas_pride_and_the_desert_dust|2019,Lupin The 3Rd Part 5,1,4,Zenigata's Pride and the Desert Dust,02/24/2020,07/20/2020,07/07/2019,1325,TV-14 DLSV,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/zenigatas-pride-and-the-desert-dust,VideoCollection:AWsjveiCCorLtcgflq7h,AWu0KmfsCorLtcgflrw2,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|a_crooks_resolve|2019,Lupin The 3Rd Part 5,1,5,A Crook's Resolve,03/02/2020,07/28/2020,07/14/2019,1326,TV-14 SV,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/a-crooks-resolve,VideoCollection:AWsjveiCCorLtcgflq7h,AWvjuRJHCorLtcgflsBh,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|lupin_vs_the_smart_safe|2019,Lupin The 3Rd Part 5,1,6,Lupin vs The Smart Safe,03/09/2020,08/03/2020,07/21/2019,1325,TV-14 DS,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/lupin-vs-the-smart-safe,VideoCollection:AWsjveiCCorLtcgflq7h,AWwF6HXrCorLtcgflsZR,,,
adultswim,1.0.0,US,05/17/2020,0,TVE,E|lupin_the_3rd_part_5|2019,S|his_name_is_albert|2019,Lupin The 3Rd Part 5,1,7,His Name is Albert,03/16/2020,08/10/2020,07/28/2019,1325,TV-14 S,en,https://www.adultswim.com/videos/lupin-the-3rd-part-5,https://www.adultswim.com//videos/lupin-the-3rd-part-5/his-name-is-albert,VideoCollection:AWsjveiCCorLtcgflq7h,AWwq5pAqCorLtcgfltJC,,,
