maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-PG,Mother Daughter Laser Razor,\/shows\/bobs-burgers\/season-3\/episode-10\/mother-daughter-laser-razor,1230.4625,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2003521,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-3\/episode-10\/mother-daughter-laser-razor,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,10,3
TV-14,Lindapendent Woman,\/shows\/bobs-burgers\/season-3\/episode-14\/lindapendent-woman,1228.9945,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2003525,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-3\/episode-14\/lindapendent-woman,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,14,3
TV-14,Purple Rain-Union,\/shows\/bobs-burgers\/season-4\/episode-6\/purple-rain-union,1232.9317,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2030307,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-4\/episode-6\/purple-rain-union,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,6,4
TV-PG,I Get Psy-Chic Out of You,\/shows\/bobs-burgers\/season-4\/episode-16\/i-get-psy-chic-out-of-you,1232.7316,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2030313,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-4\/episode-16\/i-get-psy-chic-out-of-you,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,16,4
TV-PG,"Eat, Spray, Linda",\/shows\/bobs-burgers\/season-5\/episode-18\/eat-spray-linda,1232.9651,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2065467,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-5\/episode-18\/eat-spray-linda,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,18,5
TV-PG,The Grand Mama-Pest Hotel,\/shows\/bobs-burgers\/season-7\/episode-13\/the-grand-mama-pest-hotel,1232.9651,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2132977,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-7\/episode-13\/the-grand-mama-pest-hotel,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,13,7
TV-PG,Zero Larp Thirty,\/shows\/bobs-burgers\/season-7\/episode-17\/zero-larp-thirty,1232.8316,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2132984,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-7\/episode-17\/zero-larp-thirty,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,17,7
TV-PG,Thelma and Louise Except Thelma Is Linda,\/shows\/bobs-burgers\/season-7\/episode-19\/thelma-and-louise-except-thelma-is-linda,1232.598,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2132986,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-7\/episode-19\/thelma-and-louise-except-thelma-is-linda,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,19,7
TV-PG,"Mom, Lies, and Videotape",\/shows\/bobs-burgers\/season-7\/episode-20\/mom-lies-and-videotape,1233.0652,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2132987,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-7\/episode-20\/mom-lies-and-videotape,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,20,7
TV-PG,Mo Mommy Mo Problems,\/shows\/bobs-burgers\/season-8\/episode-19\/mo-mommy-mo-problems,1232.7649,episode,https:\/\/i.cdn.tbs.com\/assets\/images\/2017\/03\/BobsBurgers-Logo-900x360.png,2003422,2171459,en,US,2020-05-07T08:00:00+00:00,2020-05-14T07:59:00+00:00,TBS,TVE,http:\/\/www.tbs.com\/shows\/bobs-burgers\/season-8\/episode-19\/mo-mommy-mo-problems,Bob's Burgers,http:\/\/www.tbs.com\/shows\/bobs-burgers,19,8
