maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,Baltimore Rising,\/shows\/american-race\/season-1\/episode-1\/baltimore-rising,2485.7166,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2018\/06\/TNT-Originals-AmericanRace_900x360.png,2099118,2099119,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/american-race\/season-1\/episode-1\/baltimore-rising,American Race,http:\/\/www.tntdrama.com\/shows\/american-race,1,1
TV-14,Muslim Is the New Black,\/shows\/american-race\/season-1\/episode-2\/muslim-is-the-new-black,2484.7822,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2018\/06\/TNT-Originals-AmericanRace_900x360.png,2099118,2099120,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/american-race\/season-1\/episode-2\/muslim-is-the-new-black,American Race,http:\/\/www.tntdrama.com\/shows\/american-race,2,1
TV-14,Entertainment Still So White,\/shows\/american-race\/season-1\/episode-3\/entertainment-still-so-white,2494.6589,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2018\/06\/TNT-Originals-AmericanRace_900x360.png,2099118,2099121,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/american-race\/season-1\/episode-3\/entertainment-still-so-white,American Race,http:\/\/www.tntdrama.com\/shows\/american-race,3,1
TV-14,The Divided States of America,\/shows\/american-race\/season-1\/episode-4\/the-divided-states-of-america,2494.2586,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2018\/06\/TNT-Originals-AmericanRace_900x360.png,2099118,2099122,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/american-race\/season-1\/episode-4\/the-divided-states-of-america,American Race,http:\/\/www.tntdrama.com\/shows\/american-race,4,1
TV-MA,Janine,\/shows\/animal-kingdom\/season-4\/episode-1\/janine,2758.8895,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/04\/AnimalKingdom-Logo%2BTNTOriginal-900x360_0.png,2063877,2172503,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/animal-kingdom\/season-4\/episode-1\/janine,Animal Kingdom,http:\/\/www.tntdrama.com\/shows\/animal-kingdom,1,4
TV-MA,Angela,\/shows\/animal-kingdom\/season-4\/episode-2\/angela,2753.0502,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/04\/AnimalKingdom-Logo%2BTNTOriginal-900x360_0.png,2063877,2172504,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/animal-kingdom\/season-4\/episode-2\/angela,Animal Kingdom,http:\/\/www.tntdrama.com\/shows\/animal-kingdom,2,4
TV-MA,Man vs. Rock,\/shows\/animal-kingdom\/season-4\/episode-3\/man-vs-rock,2705.2692,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/04\/AnimalKingdom-Logo%2BTNTOriginal-900x360_0.png,2063877,2172505,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/animal-kingdom\/season-4\/episode-3\/man-vs-rock,Animal Kingdom,http:\/\/www.tntdrama.com\/shows\/animal-kingdom,3,4
TV-MA,Tank,\/shows\/animal-kingdom\/season-4\/episode-4\/tank,2809.3399,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/04\/AnimalKingdom-Logo%2BTNTOriginal-900x360_0.png,2063877,2172506,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/animal-kingdom\/season-4\/episode-4\/tank,Animal Kingdom,http:\/\/www.tntdrama.com\/shows\/animal-kingdom,4,4
TV-MA,Reap,\/shows\/animal-kingdom\/season-4\/episode-5\/reap,2750.6479,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2019\/04\/AnimalKingdom-Logo%2BTNTOriginal-900x360_0.png,2063877,2172507,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/animal-kingdom\/season-4\/episode-5\/reap,Animal Kingdom,http:\/\/www.tntdrama.com\/shows\/animal-kingdom,5,4
TV-14,A Boy in a Tree,\/shows\/bones\/season-1\/episode-3\/a-boy-in-a-tree,2523.4209,episode,https:\/\/i.cdn.tntdrama.com\/assets\/images\/2017\/03\/Bones-logo-900x360_0.png,700029,700576,en,US,2020-05-08T08:00:00+00:00,2020-05-15T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/shows\/bones\/season-1\/episode-3\/a-boy-in-a-tree,Bones,http:\/\/www.tntdrama.com\/shows\/bones,3,1
