maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
PG,Shrek the Third,\/movies\/shrek-the-third-theatrical,5571.6661,movie,2187625,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/shrek-the-third-theatrical
R,Stronger,\/movies\/stronger-uncut,7142.5021,movie,2192496,en,US,2020-03-15T08:00:00+00:00,2020-05-16T07:59:45+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/stronger-uncut
R,Semi-Pro,\/movies\/semi-pro-uncut,5486.6813,movie,2196115,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/semi-pro-uncut
PG-13,Shut In,\/movies\/shut-in-theatrical,5463.9585,movie,2170131,en,US,2019-12-31T10:00:00+00:00,2021-01-01T09:59:14+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/shut-in-theatrical
PG-13,Pirates of the Caribbean: Dead Men Tell No Tales,\/movies\/pirates-of-the-caribbean-dead-men-tell-no-tales,6487.3809,movie,2043428,en,US,2020-05-02T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/pirates-of-the-caribbean-dead-men-tell-no-tales
G,Paddington 2,\/movies\/paddington-2-uncut,6225.9198,movie,2196406,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/paddington-2-uncut
PG-13,Star Wars: The Last Jedi,\/movies\/star-wars-the-last-jedi-theatrical,9106.0636,movie,2196916,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-the-last-jedi-theatrical
R,Fist Fight,\/movies\/fist-fight-theatrical,5472.0667,movie,2166094,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/fist-fight-theatrical
PG,Star Wars: A New Hope,\/movies\/star-wars-a-new-hope,7295.8553,movie,22123,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-a-new-hope
PG,Evan Almighty,\/movies\/evan-almighty-uncut,5737.0314,movie,2197165,en,US,2020-04-01T08:00:00+00:00,2020-07-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/evan-almighty-uncut
R,The Accountant,\/movies\/the-accountant-theatrical,7683.0755,movie,2166445,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-accountant-theatrical
TV-MA,Shooter,\/movies\/shooter-uncut,7551.2772,movie,2157049,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/shooter-uncut
PG-13,Inception,\/movies\/inception,8824.8495,movie,774971,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/inception
PG-13,Hercules: The Thracian Wars,\/movies\/hercules-the-thracian-wars-uncut,5893.8881,movie,2196285,en,US,2020-05-01T08:00:00+00:00,2020-07-30T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/hercules-the-thracian-wars-uncut
PG-13,Meet the Parents,\/movies\/meet-the-parents-uncut,6466.5935,movie,2197277,en,US,2020-04-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/meet-the-parents-uncut
R,Unfinished Business,\/movies\/unfinished-business-theatrical,5466.4277,movie,2181312,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/unfinished-business-theatrical
R,Eurotrip,\/movies\/eurotrip-theatrical,5415.8103,movie,2178287,en,US,2020-04-15T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/eurotrip-theatrical
PG-13,I Now Pronounce You Chuck & Larry,\/movies\/i-now-pronounce-you-chuck-larry-uncut,6925.4852,movie,2197569,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/i-now-pronounce-you-chuck-larry-uncut
PG-13,Walking Tall,\/movies\/walking-tall-uncut,5186.0142,movie,2198300,en,US,2020-03-01T10:00:00+00:00,2020-05-13T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/walking-tall-uncut
PG-13,Divergent,\/movies\/divergent-theatrical,8382.474,movie,2189498,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/divergent-theatrical
PG-13,Jack the Giant Slayer,\/movies\/jack-the-giant-slayer-uncut,6861.4213,movie,2218387,en,US,2020-05-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/jack-the-giant-slayer-uncut
TV-MA,"Planes, Trains and Automobiles",\/movies\/planes-trains-and-automobiles-theatrical,5558.5196,movie,2216717,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/planes-trains-and-automobiles-theatrical
PG,The Lego Movie,\/movies\/the-lego-movie,5165.3603,movie,896652,en,US,2020-05-01T08:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-lego-movie
R,Where's the Money,\/movies\/wheres-the-money-uncut,5143.6052,movie,2192330,en,US,2020-03-22T08:00:00+00:00,2020-06-22T06:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/wheres-the-money-uncut
PG,Cinderella,\/movies\/cinderella,6073.2673,movie,2042539,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/cinderella
PG,Kicking & Screaming,\/movies\/kicking-screaming-theatrical,5689.15,movie,2197306,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/kicking-screaming-theatrical
PG-13,Dumb & Dumber,\/movies\/dumb-dumber-theatrical,6393.4203,movie,2193770,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/dumb-dumber-theatrical
PG-13,Last Holiday,\/movies\/last-holiday-uncut,6702.8628,movie,2214615,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/last-holiday-uncut
R,Sex and the City 2,\/movies\/sex-and-the-city-2,7862.8216,movie,778055,en,US,2020-03-02T10:00:00+00:00,2020-05-31T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/sex-and-the-city-2
PG-13,Insurgent,\/movies\/insurgent-theatrical,7147.2067,movie,2189499,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/insurgent-theatrical
PG-13,The Hobbit: An Unexpected Journey,\/movies\/the-hobbit-an-unexpected-journey,9727.2508,movie,823617,en,US,2020-05-03T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-hobbit-an-unexpected-journey
R,The House,\/movies\/the-house-theatrical,5297.2586,movie,2181288,en,US,2020-05-02T08:00:00+00:00,2020-06-01T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-house-theatrical
PG,How to Train Your Dragon,\/movies\/how-to-train-your-dragon-uncut,5872.9336,movie,2216698,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/how-to-train-your-dragon-uncut
PG,Confessions of a Shopaholic,\/movies\/confessions-of-a-shopaholic,5352.3137,movie,684114,en,US,2020-04-23T08:00:00+00:00,2020-05-23T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/confessions-of-a-shopaholic
PG,Star Wars: The Phantom Menace,\/movies\/star-wars-the-phantom-menace,7865.5577,movie,443967,en,US,2020-05-04T08:00:00+00:00,2020-06-03T07:59:00+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/star-wars-the-phantom-menace
PG-13,The Imitation Game,\/movies\/the-imitation-game-uncut,6832.7259,movie,2166096,en,US,2019-11-14T22:30:00+00:00,2020-10-29T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-imitation-game-uncut
R,Collateral,\/movies\/collateral-uncut,7204.8977,movie,2187622,en,US,2020-03-10T08:00:00+00:00,2020-05-10T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/collateral-uncut
PG-13,The Terminal,\/movies\/the-terminal-uncut,7735.194,movie,2187627,en,US,2020-05-01T08:00:00+00:00,2020-06-01T07:59:59+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/the-terminal-uncut
R,Focus,\/movies\/focus-theatrical,6290.7178,movie,2160765,en,US,2020-04-10T08:00:00+00:00,2020-05-11T07:59:37+00:00,TNTDRAMA,TVE,http:\/\/www.tntdrama.com\/movies\/focus-theatrical
