maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,Swim Shady,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-55\/swim-shady,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139792,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-55\/swim-shady,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,55,1
TV-14,Lady and the Tramp,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-57\/lady-and-the-tramp,1472.9048,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139794,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-57\/lady-and-the-tramp,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,57,1
TV-14,The Parent Trap,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-59\/the-parent-trap,1472.7379,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139796,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-59\/the-parent-trap,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,59,1
TV-14,Catastrophe,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-61\/catastrophe,1472.9381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139798,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-61\/catastrophe,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,61,1
TV-14,Vampire Weakened,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-63\/vampire-weakened,1472.8715,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139800,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-63\/vampire-weakened,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,63,1
TV-14,Footlose,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-65\/footlose,1472.9048,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139802,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-65\/footlose,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,65,1
TV-14,X Man,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-66\/x-man,1472.8714,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139804,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-66\/x-man,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,66,1
TV-14,"Medium, Well Done",\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-68\/medium-well-done,1472.9048,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139806,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-68\/medium-well-done,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,68,1
TV-14,The Butt of the Joker,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-70\/the-butt-of-the-joker,1472.8381,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139808,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-70\/the-butt-of-the-joker,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,70,1
TV-14,Drum and Drummer,\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-73\/drum-and-drummer,1472.838,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2019\/11\/ImpracticalJokersInsideJokes-Logo-900x360_0.png,2088123,2139811,en,US,2020-05-01T08:00:00+00:00,2020-07-01T07:59:00+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes\/season-1\/episode-73\/drum-and-drummer,Impractical Jokers: Inside Jokes,http:\/\/www.trutv.com\/shows\/impractical-jokers-inside-jokes,73,1
