bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,provider_original
tbs,1.0.0,US,05/08/2020,1,TVE,,,,My Big Fat Greek Wedding 2,05/01/2020,06/01/2020,4589,PG-13,en,,http://www.tbs.com/movies/my-big-fat-greek-wedding-2,,2061297,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Star Wars: Revenge of the Sith,05/04/2020,06/03/2020,8103,PG-13,en,,http://www.tbs.com/movies/star-wars-revenge-of-the-sith,,533702,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Sex and the City 2,03/02/2020,05/31/2020,7862,R,en,,http://www.tbs.com/movies/sex-and-the-city-2,,778055,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Wizard Of Oz,05/01/2020,05/31/2020,6103,G,en,,http://www.tbs.com/movies/the-wizard-of-oz,,852,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,50 First Dates,05/02/2020,06/01/2020,5954,PG-13,en,,http://www.tbs.com/movies/50-first-dates-uncut,,2193173,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,Shrek 2,05/01/2020,07/01/2020,5545,PG,en,,http://www.tbs.com/movies/shrek-2-theatrical,,2187624,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,"Planes, Trains and Automobiles",05/01/2020,05/31/2020,5558,TV-MA,en,,http://www.tbs.com/movies/planes-trains-and-automobiles-theatrical,,2216717,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Imitation Game,11/14/2019,10/29/2020,6832,PG-13,en,,http://www.tbs.com/movies/the-imitation-game-uncut,,2166096,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Magnificent Seven,05/01/2020,06/01/2020,7981,PG-13,en,,http://www.tbs.com/movies/the-magnificent-seven-uncut,,2211226,
tbs,1.0.0,US,05/08/2020,1,TVE,,,,The Terminal,05/01/2020,06/01/2020,7735,PG-13,en,,http://www.tbs.com/movies/the-terminal-uncut,,2187627,
