url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/the-detour\/season-4\/episode-9\/the-bride,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-2\/help-wanted,WatchAction,en,US,2020-02-05T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/tarantula\/season-1\/episode-2\/mushroom-valley,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-7\/day-in-court,WatchAction,en,US,2020-03-11T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/final-space\/season-2\/episode-12\/the-descent-into-darkness,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TBS,TVE
\/shows\/seinfeld\/season-8\/episode-10\/the-andrea-doria,WatchAction,en,US,2020-04-16T16:00:00+00:00,2020-04-23T15:59:00+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-5\/holiday,WatchAction,en,US,2020-02-26T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/the-detour\/season-4\/episode-7\/the-entertainer,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-2\/i-am-the-jeans-the-gina-lavetti-story,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-04-28T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-7\/episode-16\/sweet-charity,WatchAction,en,US,2020-04-16T14:30:00+00:00,2020-04-23T14:29:00+00:00,TBS,TVE
\/shows\/seinfeld\/season-2\/episode-9\/the-deal,WatchAction,en,US,2020-04-14T07:30:00+00:00,2020-04-21T07:29:00+00:00,TBS,TVE
\/shows\/the-big-bang-theory\/season-1\/episode-17\/the-tangerine-factor,WatchAction,en,US,2020-04-16T04:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-2\/episode-2\/conspiracy-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-5\/march-25-2020,WatchAction,en,US,2020-03-26T13:00:00+00:00,2020-05-27T07:59:59+00:00,TBS,TVE
\/shows\/family-guy\/season-14\/episode-8\/brokeback-swanson,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-6\/april-1-2020,WatchAction,en,US,2020-04-02T13:00:00+00:00,2020-06-03T07:59:59+00:00,TBS,TVE
\/shows\/the-detour\/season-4\/episode-10\/the-groom,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/bobs-burgers\/season-2\/episode-1\/the-belchies,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/conan\/season-10\/episode-40\/april-9-2020,WatchAction,en,US,2020-04-10T13:30:00+00:00,2020-04-25T07:59:59+00:00,TBS,TVE
\/shows\/conan\/season-6\/episode-32\/conan-in-qatar,WatchAction,en,US,2020-03-03T23:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-7\/episode-23\/baggage,WatchAction,en,US,2020-04-18T16:00:00+00:00,2020-04-25T15:59:00+00:00,TBS,TVE
\/shows\/family-guy\/season-11\/episode-17\/bigfat,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/final-space\/season-2\/episode-9\/the-closer-you-get,WatchAction,en,US,2020-04-08T08:00:00+00:00,2020-04-22T07:59:59+00:00,TBS,TVE
\/shows\/2-broke-girls\/season-3\/episode-18\/and-the-near-death-experience,WatchAction,en,US,2020-04-19T12:30:00+00:00,2020-04-26T12:29:00+00:00,TBS,TVE
\/shows\/bobs-burgers\/season-4\/episode-8\/christmas-in-the-car,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-1\/episode-4\/the-captive-dinner-guest-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-9\/the-hall-monitor-and-the-lunch-lady,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-10\/wild-women-do,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-2\/episode-1\/murder-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-8\/speed,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/tarantula\/season-1\/episode-7\/pajattery,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-1\/episode-1\/all-is-not-lost,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/full-frontal-with-samantha-bee\/season-5\/episode-8\/april-15-2020,WatchAction,en,US,2020-04-16T13:00:00+00:00,2020-06-17T07:59:00+00:00,TBS,TVE
\/shows\/wrecked\/season-3\/episode-7\/ballers,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-2\/episode-9\/frenzy-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-20\/the-hand-that-rocks-the-rogu,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-1\/episode-5\/tubthumping,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/tarantula\/season-1\/episode-1\/seesaw,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE
\/shows\/2-broke-girls\/season-3\/episode-1\/and-the-soft-opening,WatchAction,en,US,2020-04-14T12:00:00+00:00,2020-04-21T11:59:00+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-5\/jeff-and-the-dank-ass-weed-factory,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/2-broke-girls\/season-3\/episode-4\/and-the-group-head,WatchAction,en,US,2020-04-15T12:00:00+00:00,2020-04-22T11:59:00+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-4\/rabbit-ears,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-1\/ransom,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/angie-tribeca\/season-3\/episode-8\/if-you-see-something-solve-something,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/conan\/season-10\/episode-39\/april-8-2020,WatchAction,en,US,2020-04-09T13:30:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-1\/episode-1\/the-mysterious-disappearance-of-the-girl-no-one-knew-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-7\/episode-19\/sleepover-at-peggys,WatchAction,en,US,2020-04-17T14:30:00+00:00,2020-04-24T14:29:00+00:00,TBS,TVE
\/shows\/final-space\/season-2\/episode-13\/the-sixth-key,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-2\/episode-5\/no-one-rides-for-free,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-7\/episode-7\/the-sigh,WatchAction,en,US,2020-04-13T15:30:00+00:00,2020-04-20T15:29:00+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-6\/music-festival,WatchAction,en,US,2020-03-04T08:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-2\/episode-3\/paralysis-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/tarantula\/season-1\/episode-6\/the-shade,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-11\/an-irish-goodbye,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/search-party\/season-2\/episode-8\/hysteria-uncut,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/bobs-burgers\/season-1\/episode-2\/crawl-space,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/family-guy\/season-11\/episode-5\/joes-revenge,WatchAction,en,US,2020-04-16T08:00:00+00:00,2020-04-23T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-15\/demolition-daddy,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/wrecked\/season-3\/episode-2\/puke-cigars,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/miracle-workers-dark-ages\/season-2\/episode-8\/first-date,WatchAction,en,US,2020-03-18T06:30:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/american-dad\/season-14\/episode-8\/the-long-march,WatchAction,en,US,2020-03-05T10:00:00+00:00,2020-05-21T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-7\/episode-5\/who-am-i,WatchAction,en,US,2020-04-13T14:30:00+00:00,2020-04-20T14:29:00+00:00,TBS,TVE
\/shows\/wrecked\/season-3\/episode-3\/six-feet,WatchAction,en,US,2020-03-12T22:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/everybody-loves-raymond\/season-8\/episode-1\/fun-with-debra,WatchAction,en,US,2020-04-19T15:30:00+00:00,2020-04-26T15:29:00+00:00,TBS,TVE
\/shows\/friends\/season-1\/episode-4\/the-one-with-george-stephanopoulus,WatchAction,en,US,2020-04-13T08:00:00+00:00,2020-04-20T07:59:59+00:00,TBS,TVE
