maturity_rating,program_title,url,viewable_runtime,is_movie,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,program_url
R,Collateral [Uncut],\/movies\/collateral-uncut,7204.8977,movie,2187622,en,US,2020-03-10T08:00:00+00:00,2020-05-10T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/collateral-uncut
R,Identity Thief [Uncut],\/movies\/identity-thief-theatrical,6691.0845,movie,2186637,en,US,2020-04-04T08:00:00+00:00,2020-05-05T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/identity-thief-theatrical
PG-13,What Women Want [Uncut],\/movies\/what-women-want-theatrical,7607.5668,movie,2182675,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/what-women-want-theatrical
PG-13,Shut In [Uncut],\/movies\/shut-in-theatrical,5458.7533,movie,2170131,en,US,2019-12-31T10:00:00+00:00,2021-01-01T09:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/shut-in-theatrical
TV-PG,Angels in the Infield,\/movies\/angels-in-the-infield,5166.895,movie,459360,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/angels-in-the-infield
PG-13,Thor: Ragnarok,\/movies\/thor-ragnarok,7262.6888,movie,2086318,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/thor-ragnarok
PG,Race to Witch Mountain,\/movies\/race-to-witch-mountain,5166.161,movie,736305,en,US,2020-04-09T08:00:00+00:00,2020-05-10T07:59:45+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/race-to-witch-mountain
PG-13,Jonah Hex,\/movies\/jonah-hex,4683.8458,movie,778095,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/jonah-hex
PG-13,Wild Wild West [Uncut],\/movies\/wild-wild-west-uncut,6365.1922,movie,2215252,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/wild-wild-west-uncut
PG-13,Non-Stop [Uncut],\/movies\/non-stop-uncut,6400.9613,movie,2189790,en,US,2020-04-17T08:00:00+00:00,2020-06-16T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/non-stop-uncut
PG-13,Transformers [Uncut],\/movies\/transformers-theatrical,8617.3088,movie,2187628,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/transformers-theatrical
PG-13,Into the Storm,\/movies\/into-the-storm,4586.4485,movie,2031258,en,US,2020-04-14T08:00:00+00:00,2020-04-30T07:59:59+00:00,TBS,TVE,http:\/\/www.tbs.com\/movies\/into-the-storm
