url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/claws\/season-3\/episode-10\/finna,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-5\/the-marriage-of-True-minds,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-2\/angela,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-1\/the-plays-the-thing,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-8\/music-to-my-ears,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-1\/janine,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/will\/season-1\/episode-10\/once-bright-angel,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-20\/angel-heart,WatchAction,en,US,2020-04-16T23:00:00+00:00,2020-04-23T22:59:00+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-7\/girls-girls-girls,WatchAction,en,US,2020-04-13T23:00:00+00:00,2020-04-20T22:59:00+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-7\/somos-la-sangre,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-1\/baltimore-rising,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-12\/hell-on-the-high-water,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-14\/the-last-shot-at-a-second-chance,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-19\/the-werther-project,WatchAction,en,US,2020-04-16T22:00:00+00:00,2020-04-23T21:59:00+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-1\/the-heart-attack-is-the-best-way-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-8\/what-is-happening-to-america,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-17\/hyde-school-reunion,WatchAction,en,US,2020-04-16T14:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-20\/nola-confidential,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-13\/return-of-the-king,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-16\/the-strike-in-the-chord,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-15\/i-dream-of-phoebe,WatchAction,en,US,2020-04-15T16:00:00+00:00,2020-04-23T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-11\/let-it-ride,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-14\/pandoras-box-part-ii,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-18\/spin-city,WatchAction,en,US,2020-04-16T15:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/bones\/season-11\/episode-15\/the-fight-in-the-fixer,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/claws\/season-3\/episode-6\/fly-like-an-eagle,WatchAction,en,US,2020-04-15T08:00:00+00:00,2020-04-22T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-19\/crimes-and-witch-demeanors,WatchAction,en,US,2020-04-16T16:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/supernatural\/season-10\/episode-12\/about-a-boy,WatchAction,en,US,2020-04-14T23:00:00+00:00,2020-04-21T22:59:00+00:00,TNT,TVE
\/shows\/animal-kingdom\/season-4\/episode-4\/tank,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/american-race\/season-1\/episode-4\/the-divided-states-of-america,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-12-31T09:59:59+00:00,TNT,TVE
\/shows\/good-behavior\/season-2\/episode-3\/because-im-mrs-claus-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-9\/overdrive,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/ncis-new-orleans\/season-3\/episode-17\/swift-silent-deadly,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-04-24T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-23\/its-a-bad-bad-bad-bad-world-part-2,WatchAction,en,US,2020-04-17T16:00:00+00:00,2020-04-25T07:59:59+00:00,TNT,TVE
\/shows\/the-last-ship\/season-5\/episode-10\/commitment,WatchAction,en,US,2020-04-14T08:00:00+00:00,2020-04-21T07:59:59+00:00,TNT,TVE
\/shows\/charmed\/season-6\/episode-13\/used-karma,WatchAction,en,US,2020-04-15T14:00:00+00:00,2020-04-23T07:59:59+00:00,TNT,TVE
