url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/movies\/beauty-and-the-beast,WatchAction,en,US,2020-04-07T08:00:00+00:00,2020-05-08T07:59:59+00:00,TNT,TVE
\/movies\/keanu-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/geostorm-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/the-man-from-uncle-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/hellboy-ii-the-golden-army-theatrical,WatchAction,en,US,2020-03-02T10:00:00+00:00,2020-06-16T07:59:59+00:00,TNT,TVE
\/movies\/the-break-up-uncut,WatchAction,en,US,2020-04-04T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/walking-tall-uncut,WatchAction,en,US,2020-03-01T10:00:00+00:00,2020-05-13T07:59:59+00:00,TNT,TVE
\/movies\/what-women-want-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/hercules-the-thracian-wars-uncut,WatchAction,en,US,2020-01-21T10:00:00+00:00,2020-04-20T07:59:59+00:00,TNT,TVE
\/movies\/batman-v-superman-dawn-of-justice-theatrical,WatchAction,en,US,2020-03-15T08:00:00+00:00,2020-04-14T07:59:59+00:00,TNT,TVE
\/movies\/collateral-uncut,WatchAction,en,US,2020-03-10T08:00:00+00:00,2020-05-10T07:59:59+00:00,TNT,TVE
\/movies\/it,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/wheres-the-money-uncut,WatchAction,en,US,2020-03-22T08:00:00+00:00,2020-06-22T06:59:59+00:00,TNT,TVE
\/movies\/avengers-age-of-ultron,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-03T07:59:59+00:00,TNT,TVE
\/movies\/elysium-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/angels-in-the-outfield,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/how-to-train-your-dragon-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNT,TVE
\/movies\/maleficent,WatchAction,en,US,2020-04-07T08:00:00+00:00,2020-05-08T07:59:59+00:00,TNT,TVE
\/movies\/non-stop-uncut,WatchAction,en,US,2020-04-17T08:00:00+00:00,2020-06-16T07:59:27+00:00,TNT,TVE
\/movies\/race-to-witch-mountain,WatchAction,en,US,2020-04-09T08:00:00+00:00,2020-05-10T07:59:59+00:00,TNT,TVE
\/movies\/inception,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-07-01T07:59:59+00:00,TNT,TVE
\/movies\/game-night-uncut,WatchAction,en,US,2020-04-04T08:00:00+00:00,2020-05-05T07:59:59+00:00,TNT,TVE
\/movies\/ransom-0,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/semi-pro-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-16T07:59:59+00:00,TNT,TVE
\/movies\/ted-uncut,WatchAction,en,US,2020-02-15T10:00:00+00:00,2020-05-14T08:59:59+00:00,TNT,TVE
\/movies\/vacation-theatrical,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/True-story-theatrical,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/shut-in-theatrical,WatchAction,en,US,2019-12-31T10:00:00+00:00,2021-01-01T09:59:14+00:00,TNT,TVE
\/movies\/focus-theatrical,WatchAction,en,US,2020-04-10T08:00:00+00:00,2020-05-11T07:59:37+00:00,TNT,TVE
\/movies\/riddick-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-06-30T07:59:59+00:00,TNT,TVE
\/movies\/angels-in-the-endzone,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/stronger-uncut,WatchAction,en,US,2020-03-15T08:00:00+00:00,2020-05-16T07:59:45+00:00,TNT,TVE
\/movies\/life-as-we-know-it,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:59+00:00,TNT,TVE
\/movies\/disturbia-uncut,WatchAction,en,US,2020-04-01T08:00:00+00:00,2020-05-01T07:59:11+00:00,TNT,TVE
