maturity_rating,episodes_title,url,viewable_runtime,is_movie,provider_original,series_source_id,source_id,original_language,bot_country,provider_release_date,provider_cease_date,bot_system,offer_type,episode_url,series_title,series_url,episode_number,season_number
TV-14,Adam Ruins Giving,\/shows\/adam-ruins-everything\/season-1\/episode-1\/adam-ruins-giving,1262.8282,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065335,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-1\/adam-ruins-giving,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,1,1
TV-14,Adam Ruins Security,\/shows\/adam-ruins-everything\/season-1\/episode-2\/adam-ruins-security,1217.8833,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065336,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-2\/adam-ruins-security,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,2,1
TV-14,Adam Ruins Cars,\/shows\/adam-ruins-everything\/season-1\/episode-3\/adam-ruins-cars,1242.8416,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065337,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-3\/adam-ruins-cars,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,3,1
TV-14,Adam Ruins Forensic Science,\/shows\/adam-ruins-everything\/season-1\/episode-4\/adam-ruins-forensic-science,1252.8182,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065339,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-4\/adam-ruins-forensic-science,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,4,1
TV-PG,Adam Ruins Restaurants,\/shows\/adam-ruins-everything\/season-1\/episode-5\/adam-ruins-restaurants,1247.8467,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065338,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-5\/adam-ruins-restaurants,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,5,1
TV-14,Adam Ruins Hygiene,\/shows\/adam-ruins-everything\/season-1\/episode-6\/adam-ruins-hygiene,1237.8365,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065340,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-6\/adam-ruins-hygiene,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,6,1
TV-PG,Adam Ruins Voting,\/shows\/adam-ruins-everything\/season-1\/episode-7\/adam-ruins-voting,1252.8516,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065341,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-7\/adam-ruins-voting,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,7,1
TV-14,Adam Ruins Work,\/shows\/adam-ruins-everything\/season-1\/episode-8\/adam-ruins-work,1262.8616,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065345,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-8\/adam-ruins-work,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,8,1
TV-14,Adam Ruins Summer Fun,\/shows\/adam-ruins-everything\/season-1\/episode-9\/adam-ruins-summer-fun,1262.8283,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065342,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-9\/adam-ruins-summer-fun,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,9,1
TV-14,Adam Ruins Sex,\/shows\/adam-ruins-everything\/season-1\/episode-10\/adam-ruins-sex,1239.1712,episode,https:\/\/i.cdn.trutv.com\/assets\/tru\/prod\/images\/2020\/02\/ARE-Logo-white-900x360.png,2059996,2065343,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TRUTV,TVE,http:\/\/www.trutv.com\/shows\/adam-ruins-everything\/season-1\/episode-10\/adam-ruins-sex,Adam Ruins Everything,http:\/\/www.trutv.com\/shows\/adam-ruins-everything,10,1
