videoId,type,tvRating,title,url,id,mediaID,seriesTitleId,seasonEpisode,subtitle,image16x9,durationFormatted,shortDescription,squeezetime,expireDateFormatted,duration,authRequired,videoType,entityType,created,teaserType,seriesReference,titleId,seriesId,description,shortDescriptionNoTags,descriptionNoTags,metaDescription,originalPremierDate,originalPremierDateFormatted,season,episode,canonicalUrl,releaseYear,episodeReference,movieReference,seriesPrimaryCollection,isPlayable,ads,tags,deeplinkTitle,deeplinkUri,startTime,endTime,availableOn,airsOn,expiresOn,newStatus,availabilityInfo,images,seriesLogo,seriesLogoImage,videoLogoImage,jsCanUseThisPlaylistItemAsIs
2065335,episode,TV-14,Adam Ruins Giving,\/shows\/adam-ruins-everything\/season-1\/episode-1\/adam-ruins-giving,21,256c334682e904a99eaab1637a0f3b32f6de01cd,2059996,S1 | E1,Adam Ruins Giving,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-100-full-ep-1920x1080_100.jpg,21 min,"Tonight, host Adam Conover dispels widespread misconceptions about everything from diamond engagement rings to canned goods.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065336,episode,TV-14,Adam Ruins Security,\/shows\/adam-ruins-everything\/season-1\/episode-2\/adam-ruins-security,2,66a96bf9f6528e276458a4360a9ac0c2a9a3067e,2059996,S1 | E2,Adam Ruins Security,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-101-full-ep-1920x1080_100.jpg,20 min,"Adam sets his sights on security theater, explaining that airport security wastes too much of our time and money, medicine safety seals do nothing to protect us, and your credit card number isn't remotely secure.",10,Expires April 30,1217.8833,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065337,episode,TV-14,Adam Ruins Cars,\/shows\/adam-ruins-everything\/season-1\/episode-3\/adam-ruins-cars,18,441207252f28f9eb1e117a410a065e7b55d1eb63,2059996,S1 | E3,Adam Ruins Cars,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-102-full-ep-1920x1080_100.jpg,20 min,"Adam dives into the much-beloved auto industry and exposes the surprising truths behind car dealerships, car ownership and the concept of ""jaywalking.""",10,Expires April 30,1242.8416,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065339,episode,TV-14,Adam Ruins Forensic Science,\/shows\/adam-ruins-everything\/season-1\/episode-4\/adam-ruins-forensic-science,20,ec03312afc5707e5545f178c0879050777016010,2059996,S1 | E4,Adam Ruins Forensic Science,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-104-full-ep-1920x1080_100.jpg,20 min,Adam Ruins Forensic Science: Adam uncovers the scary truth behind unreliable methods used to build evidence in criminal cases - which often send innocent people to jail.,10,Expires April 30,1252.8182,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065338,episode,TV-PG,Adam Ruins Restaurants,\/shows\/adam-ruins-everything\/season-1\/episode-5\/adam-ruins-restaurants,12,855937472cfae17333636ffb2fa7b3492f23f1bb,2059996,S1 | E5,Adam Ruins Restaurants,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-103-full-ep-1920x1080_100.jpg,20 min,"Adam dives deep into the hidden truths of dining out. He explains why tipping we'd be better off without, experts can't tell the difference between wines, and reveals fraudulently labeled seafood is rampant.",10,Expires April 30,1247.8467,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065340,episode,TV-14,Adam Ruins Hygiene,\/shows\/adam-ruins-everything\/season-1\/episode-6\/adam-ruins-hygiene,11,765ac10e736bc0f3234e3e4f10b3fe7da70c388c,2059996,S1 | E6,Adam Ruins Hygiene,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-105-full-ep-1920x1080_100.jpg,20 min,"Adam reveals that the term halitosis was popularized in a 1920s ad campaign that used cruel ads to make people insecure about their breath, and explains why running water is one of the greatest miracles of the modern age.",10,Expires April 30,1237.8365,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065341,episode,TV-PG,Adam Ruins Voting,\/shows\/adam-ruins-everything\/season-1\/episode-7\/adam-ruins-voting,33,850a4a90454040271164243a4f7e10de9b4927ea,2059996,S1 | E7,Adam Ruins Voting,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-106-full-ep-1920x1080_100.jpg,20 min,"Adam explores the twisted history of the Electoral College, explaining that the Founding Fathers did not want most Americans to vote. He also takes a stab at fixing a political system that seems rigged against True democracy.",10,Expires April 30,1252.8516,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065345,episode,TV-14,Adam Ruins Work,\/shows\/adam-ruins-everything\/season-1\/episode-8\/adam-ruins-work,4,80ed8c71b6a7c62d2cc22bb2bd52687f78119fda,2059996,S1 | E8,Adam Ruins Work,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-110-full-ep-1920x1080_100.jpg,21 min,"Adam shows how the 40-hour work week not only exhausts employees but also arms businesses, reveals the legal mess of hiring interns and freelancers, and explores how discussing your salary with co-workers is actually a good thing.",10,Expires April 30,1262.8616,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065342,episode,TV-14,Adam Ruins Summer Fun,\/shows\/adam-ruins-everything\/season-1\/episode-9\/adam-ruins-summer-fun,32,316751a5ae416f8b480432154955f0b34aa44a97,2059996,S1 | E9,Adam Ruins Summer Fun,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-107-full-ep-1920x1080_100.jpg,21 min,"Adam crashes the last day of summer by revealing extended vacations makes you dumber, and Mickey Mouse has made a mess of our copyright laws. Adam also unveils a surprising gender bias in the world of videogames.",10,Expires April 30,1262.8283,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065343,episode,TV-14,Adam Ruins Sex,\/shows\/adam-ruins-everything\/season-1\/episode-10\/adam-ruins-sex,14,36164f07c82281317f21a3fbc09daa436ce9e2ed,2059996,S1 | E10,Adam Ruins Sex,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-108-full-ep-1920x1080_100.jpg,20 min,"Adam reveals that circumcision was popularized by a bunch of masturbation-curbing 19th century prudes. Plus, he reveals why the fear of having herpes is overblown and explores why the term ""pop your cherry"" is a bunch of nonsense.",10,Expires April 30,1239.1712,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065344,episode,TV-14,Adam Ruins Nutrition,\/shows\/adam-ruins-everything\/season-1\/episode-11\/adam-ruins-nutrition,3,4807161029fe83cf5b4c3edfe37dc1b25a676e03,2059996,S1 | E11,Adam Ruins Nutrition,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-109-full-ep-1920x1080_100.jpg,21 min,"Adam shows why vitamin supplements don't make us any healthier, and that the ""balanced breakfast"" we've been sold is anything but. Later, he reveals how most of the nutritional science the media reports on isn't science at all.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2065346,episode,TV-14,Adam Ruins Death,\/shows\/adam-ruins-everything\/season-1\/episode-12\/adam-ruins-death,5,cfbd7f3f4e2e02e469808c8e38f5a04ab2be65fc,2059996,S1 | E12,Adam Ruins Death,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-111-full-ep-1920x1080_100.jpg,21 min,"Adam explains the end is inevitable, shows why immortality is a fantasy and reveals that the American funeral industry is a racket that exploits mourners' grief and fear of dying.",10,Expires April 30,1262.7948,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084663,episode,TV-14,Adam Ruins Hollywood,\/shows\/adam-ruins-everything\/season-1\/episode-13\/adam-ruins-hollywood,17,3df03214b9ec6729017522cf2597f98cf7dd4b2c,2059996,S1 | E13,Adam Ruins Hollywood,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-114-full-ep-1920x1080_100.jpg,21 min,"Straight from the red carpet, with help from celebrity guests Rachel Bloom and Ariana Madix, Adam exposes the hidden truths behind Hollywood's glitz and glamour, from the clothes stars wear to the process behind movie ratings.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084661,episode,TV-PG,Adam Ruins Football,\/shows\/adam-ruins-everything\/season-1\/episode-14\/adam-ruins-football,40,b7e3a60e4fc6bb7c0a8406231f7ea22a058b9c7c,2059996,S1 | E14,Adam Ruins Football,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-112-full-ep-1920x1080_100.jpg,21 min,"Adam hits the gridiron to explain why the playoffs rarely determine which team is best, and then explores how hydration myths spread by sports drink companies put kids at risk. Adam also tackles football-caused brain injuries.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084662,episode,TV-14,Adam Ruins Weddings,\/shows\/adam-ruins-everything\/season-1\/episode-15\/adam-ruins-weddings,19,7d4d5f4e4484ff7a161761b01ad47bf1293aad76,2059996,S1 | E15,Adam Ruins Weddings,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-113-full-ep-1920x1080_100.jpg,21 min,"Emily and Murph's wedding day is here but Adam's gift of information may rain on their parade. Adam reveals how most wedding traditions were recently created by consumerism, and divorce is actually a wonderful thing.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084664,episode,TV-14,Adam Ruins Shopping Malls,\/shows\/adam-ruins-everything\/season-1\/episode-16\/adam-ruins-shopping-malls,34,ff3aa68ed60936b8b29cac3ece0b2710d4fb61cd,2059996,S1 | E16,Adam Ruins Shopping Malls,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-115-full-ep-1920x1080_100.jpg,21 min,"Adam and Emily go on a shopping spree of knowledge and find that malls were created as tax loopholes, nutrient supplements are often unregulated, and most eyeglasses are made by one manufacturer that inflates its prices.",10,Expires April 30,1262.8616,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084665,episode,TV-14,Adam Ruins Animals,\/shows\/adam-ruins-everything\/season-1\/episode-17\/adam-ruins-animals,6,d17d8a45c4820778bb894337f4a09ae4e3a4cec5,2059996,S1 | E17,Adam Ruins Animals,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-116-full-ep-1920x1080_100.jpg,21 min,"Adam explores how purebred dogs are genetic monsters created by bored Victorians, domestic cats are overpopulated killing machines that threaten other animals and wild animal trophy hunting can actually help endangered species.",10,Expires April 30,1262.8617,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084666,episode,TV-14,Adam Ruins Immigration,\/shows\/adam-ruins-everything\/season-1\/episode-18\/adam-ruins-immigration,7,a392372cf9a8fc7c6f856481227255d7bb796492,2059996,S1 | E18,Adam Ruins Immigration,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare-117-full-ep-1920x1080_100.jpg,21 min,"Adam illustrates how a border wall wouldn't keep out legal immigrants who overstay their visas, racist mass deportations have historically led to disaster, and immigration courts are a huge mess.",10,Expires April 30,1262.8282,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084667,episode,TV-14,Adam Ruins Housing,\/shows\/adam-ruins-everything\/season-1\/episode-19\/adam-ruins-housing,16,aed3aa3821be717cd6e9a80ec43ba6ee53459ffa,2059996,S1 | E19,Adam Ruins Housing,https:\/\/images.trutv.com\/tru\/$dyna_params\/https%3A%2F%2Fi.cdn.trutv.com%2Fassets%2Ftru%2Fprod%2Fimages%2F2020%2F01%2Fare118-full-ep-housing-1920x1080_100.jpg,24 min,"Adam gets evicted from his home, and while searching for a new place, he exposes the harsh realities of real estate. Plus, Adam explains why helping the homeless is a lot simpler and more straightforward than you might think.",10,Expires April 30,1472.8381,1,episode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
