url,genre,language,bot_country,availabilityStarts,availabilityEnds,bot_system,offer_type
\/shows\/adam-ruins-everything\/season-3\/episode-4\/adam-ruins-nature,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/tacoma-fd\/season-1\/episode-5\/the-b-team-explicit,WatchAction,en,US,2019-07-09T11:00:00+00:00,2020-08-10T11:00:59+00:00,TBS,TVE
\/shows\/billy-on-the-street\/season-3\/episode-3\/billy-destroys-a-car-with-neil-patrick-harris-and,WatchAction,en,US,2018-10-01T11:00:00+00:00,2020-10-26T11:00:00+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-5\/meth-and-geth-talk-about-death,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/hack-my-life\/season-3\/episode-11\/awww-craps,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-2\/episode-7\/detergent-dawn,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/fameless\/season-2\/episode-13\/i-robot,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:11+00:00,TBS,TVE
\/shows\/impractical-jokers-after-party\/season-2\/episode-8\/staten-island-holiday-spectacular,WatchAction,en,US,2020-02-01T10:00:00+00:00,2020-04-24T07:59:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-2\/episode-25\/adam-ruins-tech,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-9\/everything-is-terrifying,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/fameless\/season-2\/episode-6\/the-home-wrecker,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:11+00:00,TBS,TVE
\/shows\/laff-mobbs-laff-tracks\/season-1\/episode-18\/pumpkin-spice-bride,WatchAction,en,US,2019-09-16T11:00:00+00:00,2020-04-27T11:00:59+00:00,TBS,TVE
\/shows\/upscale-with-prentice-penny\/season-1\/episode-9\/day-off,WatchAction,en,US,2020-02-02T13:01:00+00:00,2020-06-26T07:59:59+00:00,TBS,TVE
\/shows\/impractical-jokers\/season-3\/episode-10\/snow-way-out,WatchAction,en,US,2020-02-09T10:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/those-who-cant\/season-1\/episode-5\/of-lice-and-men-0,WatchAction,en,US,2019-07-29T11:00:00+00:00,2020-10-05T11:00:59+00:00,TBS,TVE
\/shows\/adam-ruins-everything\/season-2\/episode-23\/adam-ruins-guns,WatchAction,en,US,2020-04-02T08:00:00+00:00,2020-05-01T07:59:59+00:00,TBS,TVE
\/shows\/the-chris-gethard-show\/season-3\/episode-2\/innocuous-opinions-dire-consequences,WatchAction,en,US,2018-08-16T11:00:00+00:00,2020-09-20T11:00:59+00:00,TBS,TVE
\/shows\/greatest-ever\/season-2\/episode-2\/greatest-body-ever,WatchAction,en,US,2020-03-09T11:01:00+00:00,2020-12-24T09:59:59+00:00,TBS,TVE
