bot_system,bot_version,bot_country,capture_date,is_movie,offer_type,series_title,season_number,episode_number,program_title,provider_release_date,provider_cease_date,viewable_runtime,maturity_rating,original_language,series_url,program_url,series_source_id,source_id,is_original
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Collateral [Uncut],03/10/2020,05/10/2020,7204,R,en,,http://www.tbs.com/movies/collateral-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Identity Thief [Uncut],04/04/2020,05/05/2020,6691,R,en,,http://www.tbs.com/movies/identity-thief-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,What Women Want [Uncut],04/01/2020,05/01/2020,7607,PG-13,en,,http://www.tbs.com/movies/what-women-want-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Shut In [Uncut],12/31/2019,01/01/2021,5458,PG-13,en,,http://www.tbs.com/movies/shut-in-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Angels in the Infield,04/01/2020,05/01/2020,5166,TV-PG,en,,http://www.tbs.com/movies/angels-in-the-infield,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Thor: Ragnarok,04/01/2020,05/01/2020,7262,PG-13,en,,http://www.tbs.com/movies/thor-ragnarok,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Race to Witch Mountain,04/09/2020,05/10/2020,5166,PG,en,,http://www.tbs.com/movies/race-to-witch-mountain,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Jonah Hex,04/01/2020,05/01/2020,4683,PG-13,en,,http://www.tbs.com/movies/jonah-hex,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Wild Wild West [Uncut],04/01/2020,05/01/2020,6365,PG-13,en,,http://www.tbs.com/movies/wild-wild-west-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Non-Stop [Uncut],04/17/2020,06/16/2020,6400,PG-13,en,,http://www.tbs.com/movies/non-stop-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Transformers [Uncut],04/01/2020,05/01/2020,8617,PG-13,en,,http://www.tbs.com/movies/transformers-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Into the Storm,04/14/2020,04/30/2020,4586,PG-13,en,,http://www.tbs.com/movies/into-the-storm,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Save the Last Dance [Uncut],04/01/2020,05/01/2020,6783,TV-MA,en,,http://www.tbs.com/movies/save-the-last-dance-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,The Wolverine,04/01/2020,05/01/2020,6487,PG-13,en,,http://www.tbs.com/movies/the-wolverine,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Inception,04/01/2020,07/01/2020,8824,PG-13,en,,http://www.tbs.com/movies/inception,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Knocked Up [Uncut],03/31/2020,05/01/2020,7741,R,en,,http://www.tbs.com/movies/knocked-up-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Meet the Parents [Uncut],04/01/2020,06/01/2020,6466,PG-13,en,,http://www.tbs.com/movies/meet-the-parents-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Vacation [Uncut],04/01/2020,05/01/2020,5952,TV-MA,en,,http://www.tbs.com/movies/vacation-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,We're the Millers,04/01/2020,05/01/2020,5822,R,en,,http://www.tbs.com/movies/were-the-millers,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Maleficent,04/07/2020,05/08/2020,4804,PG,en,,http://www.tbs.com/movies/maleficent,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Sully [Uncut],04/01/2020,05/01/2020,5759,PG-13,en,,http://www.tbs.com/movies/sully-theatrical,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Semi-Pro [Uncut],04/01/2020,05/16/2020,5486,R,en,,http://www.tbs.com/movies/semi-pro-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,Riddick [Uncut],04/01/2020,06/30/2020,7126,R,en,,http://www.tbs.com/movies/riddick-uncut,,,
tbs,1.0.0,US,04/19/2020,1,TVE,,,,True Story [Uncut],02/01/2020,05/01/2020,5972,R,en,,http://www.tbs.com/movies/True-story-theatrical,,,
